id,host_id,host_name,host_since,host_response_rate,host_listings_count,host_total_listings_count,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,host_year,host_month,host_quarter,host_tenure_days
4485424,16630158,Kerry,2014-06-10,100.0,1.0,1.0,seattle,WA,98199,United States,House,Entire home/apt,8,3.0,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",330.0,650.0,2200.0,250.0,90.0,6,0.0,3,28,37,100.0,strict,2.72,2014,6,2,4263
7227464,5177328,Andrea,2013-02-21,100.0,6.0,6.0,seattle,WA,98199,United States,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",125.0,800.0,2800.0,100.0,40.0,1,0.0,2,90,17,96.0,strict,3.11,2013,2,1,4737
2958318,12729402,Shadhi,2014-03-02,100.0,1.0,1.0,seattle,WA,98199,United States,Townhouse,Entire home/apt,4,2.5,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,Essentials}",350.0,650.0,2200.0,0.0,0.0,1,0.0,2,3,0,96.0,flexible,0.0,2014,3,1,4363
4066344,21088545,Paul,2014-09-08,100.0,1.0,1.0,seattle,WA,98126,United States,House,Private room,1,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Cat(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",80.0,650.0,2200.0,0.0,0.0,1,0.0,1,1125,0,96.0,flexible,0.0,2014,9,3,4173
8012443,42305353,Matt,2015-08-23,100.0,2.0,2.0,seattle,WA,98106,United States,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",70.0,500.0,1350.0,500.0,0.0,2,20.0,1,1125,11,100.0,flexible,2.58,2015,8,3,3824
8094338,42305353,Matt,2015-08-23,100.0,2.0,2.0,seattle,WA,98106,United States,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",70.0,550.0,1350.0,500.0,0.0,2,10.0,1,30,7,100.0,flexible,1.65,2015,8,3,3824
5096363,25963725,Emily,2015-01-11,100.0,1.0,1.0,seattle,WA,98106,United States,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",72.0,600.0,1500.0,100.0,10.0,2,25.0,1,30,34,96.0,moderate,2.96,2015,1,1,4048
1980283,10219841,Conni & Stew,2013-11-24,100.0,1.0,1.0,seattle,WA,98126,United States,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Pets Allowed"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",99.0,650.0,1995.0,0.0,25.0,2,10.0,4,1125,34,94.0,moderate,1.92,2013,11,4,4461
2761092,1754964,Amy,2012-02-15,100.0,1.0,1.0,seattle,WA,98126,United States,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",78.0,567.0,1848.0,500.0,25.0,2,7.0,1,1125,20,91.0,moderate,3.7,2012,2,1,5109
4163204,18046472,Jen,2014-07-13,100.0,1.0,1.0,seattle,WA,98126,United States,Apartment,Private room,2,1.5,1.0,1.0,Airbed,"{Kitchen,Heating,""Smoke Detector"",""Fire Extinguisher""}",300.0,1600.0,1600.0,0.0,0.0,1,0.0,1,1125,0,96.0,flexible,0.0,2014,7,3,4230
